,area_type,availability,location,society,total_sqft,bath,balcony,price,bedroom
2842,Super built-up  Area,Ready To Move,other,Drerspe,1300.0,2.0,2.0,80.0,2
2845,Built-up  Area,Ready To Move,Koramangala,Vaanda ,1140.0,2.0,1.0,75.2,2
2847,Super built-up  Area,18-Dec,Whitefield,Prtates,2321.0,4.0,1.0,128.0,3
2849,Super built-up  Area,Ready To Move,Sarjapur  Road,Asncywo,1725.0,3.0,3.0,90.0,3
2850,Super built-up  Area,18-May,Hebbal,SNontle,3067.0,4.0,1.0,310.0,4
2851,Super built-up  Area,18-Mar,Hennur Road,Koagati,1186.0,2.0,1.0,63.0,3
2852,Super built-up  Area,18-Dec,Kanakpura Road,PrityFa,1230.0,2.0,1.0,85.0,2
2858,Super built-up  Area,19-Dec,Binny Pete,She 2rk,660.0,1.0,1.0,54.0,1
2859,Super built-up  Area,Ready To Move,other,Tinori ,1036.0,2.0,2.0,105.0,2
2861,Super built-up  Area,Ready To Move,Old Madras Road,Teilsaf,1100.0,2.0,1.0,70.0,2
2865,Built-up  Area,Ready To Move,Electronics City Phase 1,GaicaVe,1015.0,2.0,1.0,56.0,2
2868,Super built-up  Area,Ready To Move,other,Ceste C,2167.0,3.0,3.0,170.0,3
2870,Super built-up  Area,Ready To Move,other,MJarlPe,1165.0,2.0,2.0,75.0,2
2871,Super built-up  Area,Ready To Move,BTM 2nd Stage,NDclenn,1274.0,2.0,2.0,70.0,2
2872,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1151.0,2.0,2.0,39.02,2
2874,Super built-up  Area,Ready To Move,Thubarahalli,ShdhiSa,1626.0,2.0,2.0,120.0,3
2880,Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,Spensas,1570.0,2.0,2.0,65.0,3
2882,Super built-up  Area,Ready To Move,other,NianaKe,780.0,2.0,2.0,25.0,2
2888,Built-up  Area,Ready To Move,Kereguddadahalli,DSdorSp,904.0,2.0,1.0,30.0,2
2889,Super built-up  Area,Ready To Move,other,ALtonea,1121.0,2.0,1.0,43.72,2
2890,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Vasta C,1385.0,2.0,2.0,58.17,3
2891,Super built-up  Area,Ready To Move,Sahakara Nagar,Rauil T,1270.0,2.0,1.0,69.85,2
2892,Super built-up  Area,Ready To Move,Kanakpura Road,JRrnauv,1450.0,3.0,3.0,56.0,3
2895,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1580.0,3.0,3.0,53.56,3
2896,Super built-up  Area,Ready To Move,Thanisandra,Teire G,1111.0,2.0,1.0,50.0,2
2898,Super built-up  Area,Ready To Move,Varthur,Maine J,977.0,2.0,2.0,36.0,2
2901,Plot  Area,Ready To Move,Sarjapur,Puodsm ,2540.0,4.0,1.0,115.0,4
2902,Super built-up  Area,17-Dec,Jakkur,BrdgeNo,1290.0,2.0,1.0,100.0,2
2904,Super built-up  Area,Ready To Move,Abbigere,SLtias ,795.0,2.0,1.0,32.54,2
2905,Super built-up  Area,20-Dec,Kanakpura Road,PrarePa,700.0,1.0,1.0,35.0,2
2906,Built-up  Area,Ready To Move,other,RMcesa ,1463.0,1.0,1.0,142.0,2
2910,Plot  Area,Ready To Move,Bommenahalli,Prana S,1670.0,3.0,0.0,135.0,4
2911,Built-up  Area,Ready To Move,other,Rathira,1875.0,2.0,3.0,235.0,3
2912,Plot  Area,Ready To Move,Marsur,AreraRe,1200.0,3.0,1.0,90.0,3
2914,Super built-up  Area,Ready To Move,1st Phase JP Nagar,Prhtsok,2065.0,4.0,1.0,210.0,3
2915,Super built-up  Area,Ready To Move,Hoskote,Deiveer,1225.0,3.0,1.0,40.0,3
2916,Super built-up  Area,18-Nov,Thanisandra,Bhe 2ko,1185.5,2.0,0.0,58.68,2
2917,Super built-up  Area,Ready To Move,Bellandur,Trows M,900.0,2.0,2.0,56.0,2
2918,Super built-up  Area,19-Dec,Binny Pete,She 2rk,1350.0,2.0,1.0,91.0,2
2919,Super built-up  Area,Ready To Move,Kaggalipura,Baowsig,700.0,1.0,0.0,36.0,1
2920,Super built-up  Area,18-Jun,Mysore Road,Gopia O,1005.0,2.0,0.0,35.175,2
2923,Carpet  Area,Ready To Move,other,CharkR ,1043.0,2.0,2.0,55.0,2
2925,Super built-up  Area,Ready To Move,Hebbal,Diaveic,1040.0,2.0,2.0,46.0,2
2926,Super built-up  Area,Ready To Move,other,Shmolti,1357.0,2.0,2.0,65.0,3
2933,Super built-up  Area,Ready To Move,Doddathoguru,SKterAs,1549.0,3.0,2.0,65.0,3
2934,Super built-up  Area,Ready To Move,Yeshwanthpur,Goandn ,1400.0,2.0,2.0,100.0,2
2935,Super built-up  Area,Ready To Move,Dodda Nekkundi,MavarSa,1080.0,2.0,2.0,50.0,2
2936,Built-up  Area,Ready To Move,other,Rilor C,1180.0,2.0,2.0,100.0,2
2938,Super built-up  Area,Ready To Move,Domlur,Saiewas,1800.0,3.0,2.0,150.0,3
2939,Super built-up  Area,18-Aug,Haralur Road,SNnia E,1225.0,2.0,1.0,67.38,2
2941,Super built-up  Area,Ready To Move,Abbigere,SLtias ,1005.0,2.0,1.0,39.59,2
2942,Super built-up  Area,Ready To Move,Whitefield,BrlisCo,1320.0,2.0,1.0,95.0,2
2945,Super built-up  Area,Ready To Move,other,SSoraba,1110.0,2.0,2.0,51.0,2
2948,Super built-up  Area,18-Aug,Electronic City,Prarkun,1128.0,2.0,1.0,65.35,2
2949,Super built-up  Area,22-May,Jakkur,SoineC ,1452.19,2.0,1.0,100.0,2
2951,Super built-up  Area,18-Jul,Banashankari,Rallse ,2600.0,4.0,1.0,135.0,3
2952,Super built-up  Area,Ready To Move,other,Sowerew,2500.0,4.0,2.0,325.0,3
2955,Built-up  Area,Ready To Move,other,Goe 3la,960.0,2.0,2.0,32.0,2
2957,Built-up  Area,Ready To Move,Whitefield,JahanSa,735.0,2.0,1.0,35.0,2
2959,Super built-up  Area,Ready To Move,Rajaji Nagar,Pumesim,2849.0,5.0,0.0,300.0,5
2960,Super built-up  Area,Ready To Move,Hebbal,Mahosya,1420.0,2.0,1.0,99.39,2
2962,Super built-up  Area,Ready To Move,Bisuvanahalli,Prityel,850.0,1.0,1.0,32.0,2
2963,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1575.0,2.0,2.0,110.0,3
2964,Super built-up  Area,Ready To Move,Thigalarapalya,Prtanha,1418.0,2.0,2.0,104.0,2
2966,Super built-up  Area,Ready To Move,Hennur Road,GSideS ,1065.0,2.0,1.0,42.6,2
2969,Built-up  Area,18-Aug,Electronic City Phase II,Sryalan,1160.0,2.0,1.0,33.5,2
2970,Super built-up  Area,Ready To Move,Kudlu,Srrnasa,1092.0,2.0,2.0,44.0,2
2971,Super built-up  Area,Ready To Move,Parappana Agrahara,Peide L,1194.0,2.0,2.0,47.0,2
2972,Super built-up  Area,Ready To Move,Yelahanka,Apows M,1455.0,3.0,1.0,61.5,3
2973,Super built-up  Area,18-Jun,Abbigere,DSestma,734.0,1.0,0.0,19.82,1
2974,Built-up  Area,Ready To Move,other,SPontna,799.0,2.0,1.0,38.0,2
2976,Super built-up  Area,Ready To Move,Ardendale,Miwel M,1100.0,2.0,1.0,48.0,2
2979,Super built-up  Area,18-Apr,Electronic City,Prarkun,1128.0,2.0,1.0,65.0,2
2981,Super built-up  Area,Ready To Move,other,Lelia M,3875.0,3.0,2.0,864.0,3
2983,Super built-up  Area,Ready To Move,8th Phase JP Nagar,MBodsen,1098.0,2.0,1.0,43.91,2
2985,Super built-up  Area,Ready To Move,other,Sancya ,1460.0,3.0,2.0,88.0,3
2988,Super built-up  Area,Ready To Move,Varthur,Hirio L,1091.0,2.0,1.0,32.0,2
2989,Super built-up  Area,Ready To Move,Yelahanka,Inurave,1180.0,2.0,3.0,42.0,2
2990,Super built-up  Area,19-Dec,Kanakpura Road,PrityFa,1366.0,3.0,1.0,76.85,2
2991,Super built-up  Area,Ready To Move,other,DSureSi,1685.0,3.0,2.0,95.0,3
2992,Built-up  Area,Ready To Move,Koramangala,Gencysi,1260.0,2.0,3.0,100.0,2
2993,Plot  Area,Ready To Move,Whitefield,Chpana ,3010.0,3.0,2.0,200.0,3
2996,Super built-up  Area,18-Apr,Whitefield,Prtates,1346.0,2.0,1.0,96.17,2
2997,Super built-up  Area,18-Aug,Chandapura,Dhowsyo,630.0,1.0,0.0,13.86,1
2999,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brngsal,1850.0,3.0,2.0,140.0,3
3001,Super built-up  Area,Ready To Move,Electronic City,GMown E,755.0,1.0,1.0,34.0,2
3003,Super built-up  Area,Ready To Move,Parappana Agrahara,Peide L,1194.0,2.0,2.0,46.0,2
3005,Super built-up  Area,18-Jul,Hebbal,Cehosy ,4235.0,4.0,2.0,365.0,4
3007,Super built-up  Area,Ready To Move,Rachenahalli,Leino C,2250.0,3.0,1.0,195.0,3
3008,Super built-up  Area,Ready To Move,Vijayanagar,Rancy R,1352.0,2.0,2.0,68.0,2
3009,Super built-up  Area,Ready To Move,Thanisandra,Soitya ,2002.0,3.0,2.0,112.0,3
3010,Plot  Area,Ready To Move,other,FeowsMe,4000.0,5.0,1.0,280.0,4
3011,Built-up  Area,Ready To Move,other,KuncyRe,1060.0,2.0,2.0,45.0,2
3012,Super built-up  Area,Ready To Move,Kanakpura Road,SoapeSu,1419.59,2.0,1.0,59.0,3
3013,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1196.0,2.0,2.0,51.15,2
3015,Super built-up  Area,18-Apr,Electronics City Phase 1,Shitt S,1595.0,3.0,2.0,75.0,3
3016,Super built-up  Area,Ready To Move,Banashankari,Goeesem,1260.0,2.0,3.0,75.0,2
3018,Super built-up  Area,Ready To Move,Frazer Town,Asneren,1550.0,2.0,2.0,140.0,2
3020,Plot  Area,18-Dec,Electronic City,Janaala,4000.0,5.0,1.0,150.0,4
3021,Built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1662.0,3.0,2.0,85.0,3
3024,Super built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,1862.0,3.0,2.0,119.0,3
3025,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1419.0,2.0,2.0,48.0,2
3027,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,PrrvaPl,1560.0,2.0,2.0,62.4,3
3029,Super built-up  Area,19-Nov,Thanisandra,Bhe 2ko,1634.0,3.0,3.0,78.0,3
3030,Plot  Area,Ready To Move,Ambedkar Nagar,Thessrm,5530.0,5.0,3.0,627.0,5
3034,Super built-up  Area,17-Dec,Nagavarapalya,PuonsSe,1392.0,2.0,1.0,99.0,2
3035,Super built-up  Area,19-Dec,Jakkur,Ceezey ,1798.0,3.0,1.0,120.0,3
3036,Super built-up  Area,Ready To Move,other,Veisear,1675.0,3.0,3.0,75.0,3
3040,Super built-up  Area,19-Jun,Hebbal,Raard B,1700.0,3.0,2.0,124.0,3
3041,Super built-up  Area,Ready To Move,Hulimavu,Vandak ,1248.0,2.0,1.0,69.0,2
3042,Built-up  Area,Ready To Move,other,Sanetra,1147.0,2.0,1.0,54.0,2
3043,Super built-up  Area,Ready To Move,other,HintsAp,1100.0,2.0,2.0,40.0,2
3044,Super built-up  Area,Ready To Move,Vijayanagar,Rancy R,1527.0,3.0,2.0,115.0,3
3046,Super built-up  Area,21-Dec,Kanakpura Road,PrarePa,525.0,1.0,1.0,25.0,1
3047,Super built-up  Area,Ready To Move,Kaggadasapura,RohtsHe,1100.0,2.0,3.0,58.0,2
3050,Built-up  Area,Ready To Move,other,Krestee,2100.0,3.0,1.0,75.0,3
3052,Super built-up  Area,Ready To Move,Ambalipura,Dimes E,1332.0,2.0,1.0,79.0,2
3055,Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1243.0,2.0,2.0,46.0,2
3058,Super built-up  Area,Ready To Move,Kasavanhalli,TRensre,1200.0,2.0,2.0,50.0,2
3059,Super built-up  Area,18-Jun,Ramagondanahalli,ViistLa,1251.0,2.0,1.0,47.4,2
3060,Super built-up  Area,Ready To Move,Kambipura,Prrtht ,883.0,2.0,1.0,45.0,2
3061,Super built-up  Area,Ready To Move,other,Tencyes,1400.0,2.0,3.0,67.0,3
3062,Super built-up  Area,Ready To Move,Rajaji Nagar,Brway G,1800.0,3.0,3.0,260.0,3
3063,Super built-up  Area,Ready To Move,Hegde Nagar,Soiniy ,1703.0,3.0,2.0,113.0,3
3066,Super built-up  Area,Ready To Move,Jigani,DLhtsen,933.0,2.0,2.0,43.0,2
3068,Super built-up  Area,Ready To Move,Brookefield,Mapleer,1262.0,2.0,1.0,75.0,2
3069,Super built-up  Area,Ready To Move,Yelahanka,Rarthne,915.0,2.0,2.0,48.0,2
3070,Super built-up  Area,Ready To Move,Panathur,Saite G,1370.0,2.0,2.0,61.5,3
3071,Super built-up  Area,Ready To Move,other,Shise P,1210.0,2.0,3.0,55.0,2
3072,Super built-up  Area,Ready To Move,Kodihalli,Soianal,2392.0,4.0,2.0,260.0,3
3078,Super built-up  Area,Ready To Move,Thanisandra,MNlam G,1445.0,2.0,3.0,40.31,3
3079,Super built-up  Area,Ready To Move,Uttarahalli,Evood S,1300.0,2.0,1.0,55.0,3
3081,Super built-up  Area,Ready To Move,Jakkur,HRaniIb,1300.0,2.0,1.0,85.0,2
3082,Super built-up  Area,18-Jul,Chandapura,SunceEs,1185.0,2.0,2.0,30.22,3
3091,Super built-up  Area,Ready To Move,Hennur Road,Maity W,1385.0,2.0,1.0,83.09,2
3093,Super built-up  Area,Ready To Move,Lakshminarayana Pura,RothaVa,1149.0,2.0,1.0,75.0,2
3094,Super built-up  Area,Ready To Move,Sarjapur  Road,Adeatlm,2180.0,3.0,2.0,170.0,3
3098,Super built-up  Area,Ready To Move,Hulimavu,NiarkHy,1818.0,3.0,1.0,135.0,3
3100,Super built-up  Area,Ready To Move,Rajaji Nagar,Brway G,1640.0,3.0,2.0,241.0,3
3101,Built-up  Area,Ready To Move,Nagarbhavi,DSesthr,1350.0,2.0,2.0,54.6,3
3103,Super built-up  Area,22-Jun,Hoodi,GoAirej,1430.0,2.0,2.0,113.0,2
3106,Super built-up  Area,Ready To Move,Sarjapur  Road,Clell D,1084.0,2.0,3.0,55.0,2
3107,Super built-up  Area,Ready To Move,Hennur Road,Koagati,1186.0,2.0,1.0,56.0,3
3108,Built-up  Area,Ready To Move,Kengeri,Vaens G,1255.0,2.0,2.0,50.0,2
3109,Super built-up  Area,Ready To Move,Haralur Road,SoronSa,3400.0,5.0,3.0,240.0,4
3110,Super built-up  Area,18-Dec,Hosa Road,Mahesr ,1541.0,3.0,1.0,69.84,3
3111,Super built-up  Area,Ready To Move,Iblur Village,Emine P,3596.0,5.0,1.0,282.0,4
3112,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,NaonySy,1295.0,2.0,2.0,70.0,2
3115,Super built-up  Area,Ready To Move,7th Phase JP Nagar,SrncyRe,1370.0,2.0,2.0,54.79,3
3116,Super built-up  Area,Ready To Move,Electronic City,DSgmax ,1100.0,2.0,1.0,40.0,2
3117,Super built-up  Area,18-Apr,Hebbal,Emceske,4772.0,6.0,2.0,510.0,4
3118,Super built-up  Area,Ready To Move,Rajaji Nagar,Brway G,1370.0,2.0,1.0,170.0,2
3120,Super built-up  Area,Ready To Move,JP Nagar,DSillto,1200.0,2.0,2.0,62.0,2
3127,Super built-up  Area,Ready To Move,Somasundara Palya,ManceEl,1178.0,2.0,3.0,73.0,2
3128,Super built-up  Area,Ready To Move,Dasanapura,Tavenew,1286.0,3.0,2.0,61.44,3
3129,Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,1160.0,2.0,2.0,42.0,2
3130,Super built-up  Area,Ready To Move,Jigani,DLhtsan,918.0,2.0,2.0,55.0,2
3131,Super built-up  Area,21-Dec,Electronic City,KonteiT,1563.0,3.0,2.0,91.84,3
3134,Super built-up  Area,17-Dec,Hebbal,Cehosy ,3960.0,5.0,3.0,386.0,4
3136,Super built-up  Area,Ready To Move,Kaggadasapura,JaaldEm,1325.0,2.0,2.0,50.0,2
3137,Super built-up  Area,Ready To Move,Sonnenahalli,Whosone,1100.0,2.0,1.0,44.0,2
3138,Super built-up  Area,Ready To Move,other,Lelia M,3875.0,3.0,2.0,800.0,3
3139,Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,Mauner ,1605.0,3.0,2.0,50.0,3
3141,Super built-up  Area,Ready To Move,Somasundara Palya,Srhts P,1260.0,2.0,1.0,60.0,2
3142,Super built-up  Area,19-Dec,Hoodi,Caycend,1553.0,3.0,2.0,83.09,3
3143,Super built-up  Area,Ready To Move,Whitefield,BMttaor,1280.0,2.0,2.0,52.0,2
3144,Super built-up  Area,Ready To Move,Hebbal,Arade A,1550.0,2.0,2.0,75.0,3
3146,Super built-up  Area,Ready To Move,other,PintsAp,1550.0,3.0,2.0,74.0,3
3147,Super built-up  Area,Ready To Move,Electronics City Phase 1,SNdri N,1515.0,2.0,1.0,80.91,3
3148,Super built-up  Area,19-Mar,Hosa Road,Skume R,1332.0,2.0,1.0,86.12,3
3149,Super built-up  Area,Ready To Move,Electronic City,Briumri,1652.0,3.0,2.0,70.0,3
3150,Super built-up  Area,Ready To Move,Hegde Nagar,Sonosty,1570.0,3.0,1.0,105.0,3
3151,Plot  Area,Ready To Move,Sarjapur  Road,Adeatlm,5400.0,4.0,3.0,725.0,4
3152,Super built-up  Area,Ready To Move,other,DShtsow,794.0,1.0,1.0,60.0,1
3154,Built-up  Area,Ready To Move,7th Phase JP Nagar,RBRWAyo,3600.0,3.0,2.0,410.0,4
3158,Super built-up  Area,Ready To Move,other,VDenaWa,2800.0,3.0,2.0,250.0,3
3159,Super built-up  Area,Ready To Move,Sarjapur  Road,SocusHi,1750.0,3.0,2.0,110.0,3
3161,Super built-up  Area,21-Dec,Kanakpura Road,PrarePa,1100.0,3.0,2.0,53.0,3
3162,Super built-up  Area,Ready To Move,other,Srhan P,1665.0,3.0,3.0,70.0,3
3163,Plot  Area,Ready To Move,other,PrstaTe,4051.0,4.0,3.0,345.0,4
3165,Built-up  Area,Ready To Move,Bommasandra,KBaleoy,1447.0,3.0,2.0,80.0,3
3166,Built-up  Area,Ready To Move,Balagere,Soresea,1012.0,2.0,1.0,75.0,2
3167,Super built-up  Area,Ready To Move,other,Saestde,1900.0,3.0,2.0,60.0,3
3168,Super built-up  Area,Ready To Move,other,AriosHe,1308.0,2.0,2.0,92.66,2
3173,Super built-up  Area,18-Aug,Gunjur,BMineis,1140.0,2.0,2.0,49.11,2
3174,Super built-up  Area,22-May,Jakkur,SoineC ,3181.0,4.0,0.0,260.5,4
3176,Super built-up  Area,Ready To Move,Kanakapura,SPavenc,1290.0,3.0,3.0,45.15,3
3177,Super built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,1424.0,2.0,2.0,90.0,2
3179,Built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1662.0,3.0,2.0,85.5,3
3180,Super built-up  Area,Ready To Move,other,Kierser,8321.0,5.0,3.0,2700.0,5
3181,Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,1200.0,2.0,2.0,45.0,2
3184,Super built-up  Area,Ready To Move,Battarahalli,PaontWa,1777.0,3.0,2.0,100.0,3
3186,Super built-up  Area,17-Jul,Anandapura,ViensRK,1576.0,3.0,2.0,59.1,3
3189,Super built-up  Area,18-Aug,Raja Rajeshwari Nagar,Prllsan,648.0,1.0,1.0,31.75,1
3190,Super built-up  Area,Ready To Move,Neeladri Nagar,AdingSV,1167.0,2.0,1.0,38.0,3
3193,Super built-up  Area,Ready To Move,other,Leora E,2350.0,5.0,1.0,327.0,3
3197,Built-up  Area,Ready To Move,other,Coner C,1991.0,3.0,2.0,160.0,3
3205,Super built-up  Area,Ready To Move,Rachenahalli,NRodsen,2721.0,3.0,2.0,113.0,3
3206,Super built-up  Area,Ready To Move,Thanisandra,Bhmesy ,2000.0,3.0,2.0,99.0,3
3207,Super built-up  Area,Ready To Move,Whitefield,Sanne E,2500.0,4.0,3.0,155.0,4
3208,Super built-up  Area,Ready To Move,other,GMilse ,1325.0,2.0,2.0,70.0,2
3209,Super built-up  Area,18-Apr,Kadugodi,Alestrb,1314.0,2.0,3.0,68.2,2
3214,Built-up  Area,Ready To Move,other,ARineha,2220.0,4.0,2.0,65.0,3
3215,Super built-up  Area,18-Sep,KR Puram,MCnexva,1192.5,2.0,0.0,51.22,2
3216,Super built-up  Area,18-Dec,Hebbal,Mahosya,1420.0,2.0,1.0,99.39,2
3217,Super built-up  Area,Ready To Move,Sarjapur  Road,Ceiti I,1888.0,4.0,1.0,95.0,3
3218,Super built-up  Area,18-May,JP Nagar,Shestut,1300.0,2.0,1.0,90.87,2
3219,Super built-up  Area,18-May,Rajaji Nagar,Pumesim,1216.0,2.0,0.0,97.16,2
3222,Super built-up  Area,Ready To Move,Harlur,Prncyrn,1290.0,2.0,1.0,87.0,2
3227,Built-up  Area,Ready To Move,Koramangala,Proodt ,1900.0,2.0,1.0,200.0,2
3229,Built-up  Area,Ready To Move,Sarjapur  Road,MJinele,1300.0,3.0,2.0,60.0,3
3230,Super built-up  Area,Ready To Move,Channasandra,Unm 2El,1115.0,2.0,1.0,33.45,2
3231,Super built-up  Area,Ready To Move,Rajaji Nagar,PhestOn,2409.0,3.0,2.0,360.0,3
3232,Super built-up  Area,Ready To Move,Ambedkar Nagar,SoechHa,2150.0,4.0,2.0,125.0,3
3233,Super built-up  Area,19-Mar,Marathahalli,Unezes ,1305.0,2.0,1.0,69.0,3
3234,Super built-up  Area,20-Dec,Kanakpura Road,GolusLi,1252.0,2.0,1.0,56.32,2
3240,Super built-up  Area,Ready To Move,Subramanyapura,Chllsev,1313.0,2.0,2.0,66.5,2
3243,Super built-up  Area,Ready To Move,other,ARnamru,1160.0,2.0,1.0,41.75,2
3245,Super built-up  Area,Ready To Move,Subramanyapura,Mayne A,1255.0,2.0,2.0,79.0,3
3247,Built-up  Area,Ready To Move,other,Pralmat,900.0,2.0,1.0,45.0,2
3248,Super built-up  Area,Ready To Move,Yelahanka New Town,Cerasy ,1700.0,3.0,2.0,90.0,3
3249,Carpet  Area,Ready To Move,Indira Nagar,Gonorir,1875.0,3.0,1.0,180.0,3
3250,Carpet  Area,Ready To Move,Uttarahalli,Baveles,1700.0,3.0,2.0,88.0,3
3251,Super built-up  Area,Ready To Move,Harlur,Prncyrn,1749.0,3.0,2.0,115.0,3
3255,Built-up  Area,Ready To Move,other,Krllael,1200.0,2.0,2.0,50.0,2
3256,Super built-up  Area,Ready To Move,Ramagondanahalli,DNeremo,1610.0,2.0,2.0,115.0,3
3257,Super built-up  Area,Ready To Move,Electronic City,GMown E,1070.0,2.0,1.0,46.0,2
3260,Built-up  Area,Ready To Move,Indira Nagar,VKvenas,1210.0,2.0,1.0,102.0,2
3262,Super built-up  Area,Ready To Move,Thigalarapalya,Prtanha,4190.0,4.0,3.0,380.0,4
3263,Super built-up  Area,Ready To Move,other,Shensit,1364.0,2.0,2.0,70.0,2
3264,Super built-up  Area,Ready To Move,Whitefield,ArsiaEx,2268.0,3.0,0.0,146.0,4
3267,Built-up  Area,Ready To Move,Magadi Road,DSellil,1345.0,2.0,2.0,55.0,2
3268,Super built-up  Area,Ready To Move,other,Laowsba,1110.0,2.0,2.0,41.0,2
3269,Built-up  Area,Ready To Move,Kengeri,VBvenal,750.0,2.0,1.0,36.0,2
3270,Built-up  Area,Ready To Move,other,Puodse ,1156.0,2.0,2.0,49.5,2
3271,Super built-up  Area,Ready To Move,Pattandur Agrahara,ARvasV ,1247.0,2.0,1.0,59.8,2
3273,Super built-up  Area,Ready To Move,Kaggalipura,Baowsig,950.0,2.0,1.0,48.0,2
3276,Super built-up  Area,21-Jun,Vijayanagar,Saityat,1520.0,2.0,1.0,103.0,3
3279,Super built-up  Area,Ready To Move,Hennur Road,Samittv,2350.0,3.0,2.0,174.0,3
3281,Super built-up  Area,Ready To Move,other,Sorisa ,1672.0,3.0,2.0,150.0,3
3287,Super built-up  Area,18-May,Bommasandra,SSestth,920.0,2.0,1.0,37.46,2
3288,Plot  Area,18-Feb,Sarjapur  Road,Cetattu,1200.0,3.0,2.0,70.0,3
3289,Built-up  Area,Ready To Move,other,Mancy R,1250.0,3.0,2.0,139.0,3
3292,Super built-up  Area,Ready To Move,HSR Layout,NRosete,1140.0,2.0,2.0,46.0,2
3294,Super built-up  Area,Ready To Move,Haralur Road,NRowse ,1464.0,2.0,2.0,56.0,2
3295,Super built-up  Area,Ready To Move,other,RMcesa ,1468.0,3.0,2.0,130.0,2
3296,Super built-up  Area,Ready To Move,Electronics City Phase 1,SNdri N,1555.0,2.0,1.0,82.0,3
3298,Built-up  Area,Ready To Move,Whitefield,SNadeAr,1150.0,2.0,0.0,55.0,2
3301,Super built-up  Area,Ready To Move,other,Mazler ,1166.0,2.0,1.0,53.0,2
3302,Plot  Area,Ready To Move,other,Prasa W,2779.0,3.0,1.0,317.0,3
3303,Super built-up  Area,Ready To Move,Electronic City,Palleon,1350.0,3.0,2.0,58.0,3
3306,Built-up  Area,Ready To Move,other,SoersTo,1190.0,3.0,1.0,55.0,3
3307,Super built-up  Area,Ready To Move,Kodichikkanahalli,Suntsan,1495.0,2.0,2.0,75.0,3
3308,Built-up  Area,Ready To Move,Indira Nagar,Riousd ,1224.0,2.0,2.0,105.0,2
3309,Super built-up  Area,Ready To Move,other,Mandsi ,1350.0,2.0,2.0,68.0,3
3310,Built-up  Area,Ready To Move,Green Glen Layout,Mazzo P,940.0,2.0,1.0,56.8,2
3311,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,DwntsAp,1100.0,2.0,1.0,55.0,2
3312,Super built-up  Area,Ready To Move,other,Sheurre,1300.0,2.0,2.0,61.0,2
3315,Plot  Area,17-Jun,Sarjapur  Road,AztheBr,2600.0,3.0,2.0,200.0,3
3316,Super built-up  Area,21-Mar,Yelahanka,Goues A,1517.0,3.0,2.0,76.3,3
3321,Super built-up  Area,Ready To Move,Marathahalli,Vaoodar,1365.0,2.0,2.0,73.0,2
3322,Super built-up  Area,Ready To Move,Electronic City,Itelaa ,1000.0,2.0,3.0,25.0,2
3323,Super built-up  Area,Ready To Move,CV Raman Nagar,Pu270a ,1392.0,2.0,1.0,98.0,2
3325,Super built-up  Area,Ready To Move,Hennur Road,ChionCo,1586.0,3.0,3.0,93.94,3
3327,Super built-up  Area,18-May,Electronic City Phase II,Sryalan,1065.0,2.0,1.0,30.75,2
3329,Built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1575.0,2.0,2.0,120.0,3
3332,Super built-up  Area,Ready To Move,Gubbalala,MauilTr,1745.0,3.0,2.0,110.0,3
3333,Super built-up  Area,Ready To Move,Nagarbhavi,SVdhaig,1223.0,2.0,1.0,60.0,2
3335,Super built-up  Area,Ready To Move,other,Niine J,1200.0,2.0,0.0,90.0,2
3336,Super built-up  Area,19-Dec,Binny Pete,She 2rk,665.0,1.0,1.0,46.08,1
3337,Super built-up  Area,Ready To Move,Bharathi Nagar,FoapeWa,1351.0,2.0,2.0,70.0,2
3338,Super built-up  Area,18-Dec,Hebbal,Magiaya,1355.0,3.0,1.0,83.87,3
3344,Super built-up  Area,Ready To Move,Panathur,Saite G,1370.0,2.0,2.0,75.0,3
3348,Built-up  Area,Ready To Move,Hoodi,Adion M,1247.0,2.0,0.0,53.0,2
3350,Super built-up  Area,18-Jul,Balagere,Soresea,1020.07,2.0,1.0,68.38,2
3352,Built-up  Area,Ready To Move,other,Niidet ,1460.0,2.0,3.0,73.0,3
3356,Super built-up  Area,Ready To Move,Yelahanka,Niareum,2912.5,6.0,0.0,125.5,4
